Pair,Asset A,Asset B,Beta,ADF Stat,Half Life,Hurst,Zero Cross,Correlation
HCLTECH-LUPIN,HCLTECH,LUPIN,0.8425751648146782,-2.9715965042274144,39.355083650575764,0.4805519060675404,44,0.8712494262101036
JSWSTEEL-LUPIN,JSWSTEEL,LUPIN,-0.30521487363251604,-2.3016115390243663,65.61896094257246,0.48070857688617497,30,-0.5373775647729058
BAJAJ-AUTO-RELIANCE,BAJAJ-AUTO,RELIANCE,0.8013543192970876,-2.7528755791981125,53.75240226799439,0.4808012995815313,35,0.21560915513088483
OFSS-ULTRACEMCO,OFSS,ULTRACEMCO,0.9493252967848613,-2.377299396604336,54.51872012285457,0.4808241277736309,64,0.8229235154413401
BRITANNIA-BPCL,BRITANNIA,BPCL,-1.5747036806926702,-2.884680019513455,43.52595063455239,0.48084110642776334,24,-0.1901190705376419
BRITANNIA-ASHOKLEY,BRITANNIA,ASHOKLEY,-0.30511884903695136,-2.923465013765543,44.43343699800655,0.4810547033368178,16,-0.02816724064554517
BRITANNIA-JSWSTEEL,BRITANNIA,JSWSTEEL,-0.8471409372399774,-3.217839668828859,37.90060415099292,0.48128281615949287,34,-0.26324942075700114
KOTAKBANK-JSWSTEEL,KOTAKBANK,JSWSTEEL,-0.5000642068818458,-2.86945309694844,57.89278078337643,0.48136120725658754,40,-0.41532658346468726
TVSMOTOR-INFY,TVSMOTOR,INFY,0.9139429060094044,-3.0577911337824104,54.93355879464932,0.48147126862136447,19,0.5280919615651766
BAJAJ-AUTO-INFY,BAJAJ-AUTO,INFY,0.6410116116124781,-2.764208675530288,52.476016331590145,0.48151859715306194,31,0.252609891143664
VEDL-SUNPHARMA,VEDL,SUNPHARMA,0.2173548464085193,-0.68119227933948,314.84613342017025,0.48154440322870784,43,0.4916721209841924
JINDALSTEL-HCLTECH,JINDALSTEL,HCLTECH,-0.24803534285559192,-2.6172652571176256,63.21799407988959,0.4815760062010827,24,-0.4719618287363405
KOTAKBANK-NESTLEIND,KOTAKBANK,NESTLEIND,-0.510803072527991,-2.804180481450939,64.36693316012952,0.48196922923978147,24,-0.263835238370216
BRITANNIA-TATASTEEL,BRITANNIA,TATASTEEL,2.9024399872373756,-2.9592206585965033,43.6259714114862,0.4819950064414705,22,0.1701761314412581
JINDALSTEL-NTPC,JINDALSTEL,NTPC,1.3558840058040105,-2.05175948533125,101.88949765460357,0.4820134966408473,24,0.3443283674639569
OFSS-GRASIM,OFSS,GRASIM,1.993834854623822,-0.5402482928086124,378.48251262326636,0.48204245177190563,29,0.5820730299444926
AUROPHARMA-POWERGRID,AUROPHARMA,POWERGRID,-2.908757827251822,-1.9163504991605078,99.67140614744407,0.48204703083899253,17,-0.6251262995655823
BPCL-ASHOKLEY,BPCL,ASHOKLEY,0.4658613479716491,-1.989549313977785,130.58776912243925,0.48217761382217633,18,0.3562091785423304
VEDL-AMBUJACEM,VEDL,AMBUJACEM,-0.7933428097223827,-1.8384048120161625,96.93724023855493,0.48222781733467884,41,-0.4680964661895842
JINDALSTEL-POWERGRID,JINDALSTEL,POWERGRID,1.0524574082011777,-2.070207446085962,98.46810726445567,0.4822994638392987,26,0.3452093636710339
BAJFINANCE-SBICARD,BAJFINANCE,SBICARD,0.9830546182781875,-3.3064434704648247,32.47076241634138,0.48233133977661297,59,0.7621325876029903
DRREDDY-JSWSTEEL,DRREDDY,JSWSTEEL,-0.47061108462291895,-2.739324365620026,48.46383426246501,0.48247406397026327,62,-0.5428535969026895
JSWENERGY-AXISBANK,JSWENERGY,AXISBANK,-0.7698107753123289,-1.5550768760036777,114.48324230870543,0.4825046342951999,30,-0.6062840907459607
IOC-SAIL,IOC,SAIL,0.7241201964901357,-1.4165290295628603,148.83108286052095,0.48259642208501163,37,0.6592783188112987
SBIN-AMBUJACEM,SBIN,AMBUJACEM,-0.7003597439251427,-2.8374823585267674,67.10017799505333,0.4830304648669739,31,-0.4023700923009492
