timestamp,open,high,low,close,volume,symbol
2026-01-08 13:15:00+05:30,223.1,223.2,222.28,222.94,1397364,SILVERBEES
2026-01-08 13:25:00+05:30,222.94,223.19,222.0,222.1,1486950,SILVERBEES
2026-01-08 13:35:00+05:30,222.1,222.78,222.07,222.44,812612,SILVERBEES
2026-01-08 13:45:00+05:30,222.44,222.97,222.2,222.56,893707,SILVERBEES
2026-01-08 13:55:00+05:30,222.66,222.67,221.71,221.8,2625532,SILVERBEES
2026-01-08 14:05:00+05:30,221.79,221.98,220.67,221.18,2951678,SILVERBEES
2026-01-08 14:15:00+05:30,221.21,221.69,220.9,221.67,1568826,SILVERBEES
2026-01-08 14:25:00+05:30,221.66,222.89,221.6,222.05,1382482,SILVERBEES
2026-01-08 14:35:00+05:30,222.03,222.65,221.86,222.5,1932532,SILVERBEES
2026-01-08 14:45:00+05:30,222.54,222.65,222.24,222.62,834603,SILVERBEES
2026-01-08 14:55:00+05:30,222.61,223.27,222.4,223.25,1619357,SILVERBEES
2026-01-08 15:05:00+05:30,223.27,223.44,222.58,223.44,1875965,SILVERBEES
2026-01-08 15:15:00+05:30,223.42,223.95,223.18,223.9,3013235,SILVERBEES
2026-01-08 15:25:00+05:30,223.97,224.42,223.81,224.25,2387862,SILVERBEES
2026-01-09 09:15:00+05:30,224.2,227.0,224.2,226.5,6805509,SILVERBEES
2026-01-09 09:25:00+05:30,226.48,226.95,225.53,226.38,5721004,SILVERBEES
2026-01-09 09:35:00+05:30,226.38,226.75,226.13,226.26,1893505,SILVERBEES
2026-01-09 09:45:00+05:30,226.09,226.09,225.12,225.54,4141195,SILVERBEES
2026-01-09 09:55:00+05:30,225.54,226.39,225.31,226.11,1466174,SILVERBEES
2026-01-09 10:05:00+05:30,226.11,226.58,225.7,226.39,1634466,SILVERBEES
2026-01-09 10:15:00+05:30,226.38,226.38,225.71,226.14,1153833,SILVERBEES
2026-01-09 10:25:00+05:30,226.14,226.55,225.95,226.33,1071759,SILVERBEES
2026-01-09 10:35:00+05:30,226.3,226.45,226.07,226.26,596334,SILVERBEES
2026-01-09 10:45:00+05:30,226.23,226.29,225.4,225.45,1158813,SILVERBEES
2026-01-09 10:55:00+05:30,225.4,226.67,225.4,226.65,1545933,SILVERBEES
2026-01-09 11:05:00+05:30,226.65,227.48,226.58,226.8,2776389,SILVERBEES
2026-01-09 11:15:00+05:30,226.79,227.39,226.79,227.15,1083285,SILVERBEES
2026-01-09 11:25:00+05:30,227.17,228.0,227.04,227.96,1649987,SILVERBEES
2026-01-09 11:35:00+05:30,227.96,228.0,227.22,227.41,1342327,SILVERBEES
2026-01-09 11:45:00+05:30,227.42,227.5,226.94,227.13,1134488,SILVERBEES
2026-01-09 11:55:00+05:30,227.15,228.2,227.11,228.19,1676883,SILVERBEES
2026-01-09 12:05:00+05:30,228.19,228.39,227.88,228.05,1353679,SILVERBEES
